2015-01-01,00:00,25.0,20.0,5.0
2015-01-01,01:00,24.0,18.0,6.0
2015-01-01,02:00,23.0,17.0,5.5
2015-01-01,03:00,22.0,16.0,5.0
2015-01-01,04:00,21.0,15.0,4.5
2015-01-01,05:00,20.0,14.0,4.0
2015-01-01,06:00,19.0,13.0,3.5
2015-01-01,07:00,18.0,12.0,3.0
2015-01-01,08:00,17.0,11.0,2.5
2015-01-01,09:00,16.0,10.0,2.0
2015-01-01,10:00,15.0,9.0,1.5
2015-01-01,11:00,14.0,8.0,1.0
2015-01-01,12:00,13.0,7.0,1.5
2015-01-01,13:00,14.0,8.0,2.0
2015-01-01,14:00,15.0,9.0,2.5
2015-01-01,15:00,16.0,10.0,3.0
2015-01-01,16:00,17.0,11.0,3.5
2015-01-01,17:00,18.0,12.0,4.0
2015-01-01,18:00,19.0,13.0,4.5
2015-01-01,19:00,20.0,14.0,5.0
2015-01-01,20:00,21.0,15.0,5.5
2015-01-01,21:00,22.0,16.0,6.0
2015-01-01,22:00,23.0,17.0,6.5
2015-01-01,23:00,24.0,18.0,7.0
